Order_ID,Customer_Id,Order_Date,Product,Product_Category,Sales
ORD00001,37077,1/2/2018,Car Media Players,Auto & Accessories,140
ORD00002,59173,7/24/2018,Car Speakers,Auto & Accessories,211
ORD00003,41066,11/8/2018,Car Body Covers,Auto & Accessories,117
ORD00004,50741,4/18/2018,Car & Bike Care,Auto & Accessories,118
ORD00005,53639,8/13/2018,Tyre,Auto & Accessories,250
ORD00006,39783,7/9/2018,Bike Tyres,Auto & Accessories,72
ORD00007,26767,5/16/2018,Car Mat,Auto & Accessories,54
ORD00008,20719,6/23/2018,Car Seat Covers,Auto & Accessories,114
ORD00009,46947,7/29/2018,Car Pillow & Neck Rest,Auto & Accessories,231
ORD00010,31839,5/16/2018,Car Media Players,Auto & Accessories,140
ORD00011,22249,7/13/2018,Car Speakers,Auto & Accessories,211
ORD00012,15109,10/7/2018,Car Body Covers,Auto & Accessories,117
ORD00013,18622,7/25/2018,Car & Bike Care,Auto & Accessories,118
ORD00014,56296,12/1/2018,Tyre,Auto & Accessories,250
ORD00015,34138,10/7/2018,Bike Tyres,Auto & Accessories,72
ORD00016,51112,6/2/2018,Car Mat,Auto & Accessories,54
ORD00017,57057,3/26/2018,Car Seat Covers,Auto & Accessories,114
ORD00018,50942,4/21/2018,Car Pillow & Neck Rest,Auto & Accessories,231
ORD00019,42384,1/26/2018,Car Media Players,Auto & Accessories,140
ORD00020,26127,2/18/2018,Car Speakers,Auto & Accessories,211
ORD00021,14449,12/15/2018,Car Body Covers,Auto & Accessories,117
ORD00022,16823,8/3/2018,Car & Bike Care,Auto & Accessories,118
ORD00023,15976,6/8/2018,Tyre,Auto & Accessories,250
ORD00024,51542,11/9/2018,Bike Tyres,Auto & Accessories,72
ORD00025,42676,8/20/2018,Car Mat,Auto & Accessories,54
ORD00026,56593,10/4/2018,Car Seat Covers,Auto & Accessories,114
ORD00027,37689,12/12/2018,Car Pillow & Neck Rest,Auto & Accessories,231
ORD00028,38941,8/25/2018,Car Speakers,Auto & Accessories,211
ORD00029,19919,11/10/2018,Car Body Covers,Auto & Accessories,117
ORD00030,56625,9/16/2018,Car & Bike Care,Auto & Accessories,118
ORD00031,33501,3/12/2018,Tyre,Auto & Accessories,250
ORD00032,40865,8/3/2018,Bike Tyres,Auto & Accessories,72
ORD00033,38256,7/29/2018,Car Mat,Auto & Accessories,54
ORD00034,14567,8/17/2018,Car Seat Covers,Auto & Accessories,114
ORD00035,38178,8/21/2018,Car Pillow & Neck Rest,Auto & Accessories,231
ORD00036,24153,7/30/2018,Car Media Players,Auto & Accessories,140
ORD00037,27385,10/1/2018,Car Speakers,Auto & Accessories,211
ORD00038,44937,12/26/2018,Car Body Covers,Auto & Accessories,117
ORD00039,38490,5/19/2018,Car & Bike Care,Auto & Accessories,118
ORD00040,30549,4/24/2018,Tyre,Auto & Accessories,250
ORD00041,50606,11/4/2018,Bike Tyres,Auto & Accessories,72
ORD00042,42084,11/4/2018,Car Mat,Auto & Accessories,54
ORD00043,52161,5/18/2018,Car Seat Covers,Auto & Accessories,114
ORD00044,32218,5/14/2018,Car Pillow & Neck Rest,Auto & Accessories,231
ORD00045,36491,5/17/2018,Car Media Players,Auto & Accessories,140
